Publication A,Publication B,Number,Publication A xx Publication B
15-D-04,12-D-09,4,Quotes
15-D-04,13-D-12,1,Quotes
15-D-04,92-D-43,1,Quotes
15-D-04,18-D-18,1,Is quoted by
15-D-04,19-D-24,2,Is quoted by
15-D-04,20-D-21,1,Is quoted by
15-D-03,09-A-48,1,Quotes
15-D-03,07-D-48,1,Quotes
15-D-03,09-D-05,1,Quotes
15-D-03,07-D-15,1,Quotes
15-D-03,09-D-36,1,Quotes
15-D-03,13-D-12,1,Quotes
15-D-03,17-D-03,1,Is quoted by
15-D-03,18-D-15,1,Is quoted by
15-D-03,19-D-24,2,Is quoted by
15-D-03,20-D-09,5,Is quoted by
15-D-03,21-D-09,2,Is quoted by
15-D-02,08-D-34,1,Quotes
15-D-02,05-D-49,2,Quotes
15-D-02,07-D-41,1,Quotes
15-D-02,06-D-29,14,Quotes
15-D-02,09-MC-02,1,Quotes
15-D-02,10-D-21,2,Quotes
15-D-02,11-D-10,1,Quotes
15-D-02,11-D-12,1,Quotes
15-D-02,12-D-05,1,Quotes
15-D-02,12-D-06,1,Quotes
15-D-02,18-D-09,6,Is quoted by
15-D-02,20-D-03,7,Is quoted by
15-D-02,20-D-07,7,Is quoted by
15-D-02,21-D-17,1,Is quoted by
15-D-01,09-A-09,1,Quotes
15-D-01,07-D-30,1,Quotes
15-D-01,01-D-66,1,Quotes
15-D-01,09-D-24,1,Quotes
15-D-01,05-D-59,1,Quotes
15-D-01,10-D-09,1,Quotes
15-D-01,12-D-25,1,Quotes
15-D-01,99-D-14,4,Quotes
15-D-01,15-A-10,4,Is quoted by
15-D-01,15-D-20,1,Is quoted by
15-D-01,16-D-11,3,Is quoted by
15-D-01,19-A-03,1,Is quoted by
15-D-01,19-A-12,3,Is quoted by
15-D-01,20-D-01,1,Is quoted by
15-D-01,21-A-17,1,Is quoted by
15-A-20,04-A-04,1,Quotes
15-A-20,13-A-23,3,Quotes
15-A-20,14-A-17,2,Quotes
15-A-20,15-A-07,2,Quotes
15-A-20,17-A-04,1,Is quoted by
15-A-20,18-A-10,2,Is quoted by
15-A-19,06-D-29,1,Quotes
15-A-19,06-A-17,2,Quotes
15-A-18,10-A-08,1,Quotes
15-A-18,14-A-14,2,Quotes
15-A-18,16-A-15,4,Is quoted by
15-A-18,19-A-01,1,Is quoted by
15-A-18,19-A-07,1,Is quoted by
15-A-17,14-MC-02,1,Quotes
15-A-17,16-A-02,2,Is quoted by
15-A-16,16-D-19,1,Is quoted by
15-A-16,18-A-03,2,Is quoted by
15-A-16,18-A-09,5,Is quoted by
15-A-16,18-D-23,1,Is quoted by
15-A-16,21-D-01,6,Is quoted by
15-A-16,21-D-27,1,Is quoted by
15-A-15,16-A-07,1,Is quoted by
15-A-14,06-A-13,1,Quotes
15-A-14,08-D-10,1,Quotes
15-A-14,05-D-13,1,Quotes
15-A-14,05-D-44,1,Quotes
15-A-14,10-D-32,1,Quotes
15-A-14,14-A-07,12,Quotes
15-A-12,10-A-01,5,Quotes
15-A-11,06-A-07,11,Quotes
15-A-10,09-A-09,2,Quotes
15-A-10,06-A-01,2,Quotes
15-A-10,07-D-30,1,Quotes
15-A-10,10-D-09,2,Quotes
15-A-10,12-A-13,5,Quotes
15-A-10,15-D-01,4,Quotes
15-A-10,15-D-09,3,Quotes
15-A-10,16-D-11,1,Is quoted by
15-A-10,19-A-03,1,Is quoted by
15-A-10,20-D-01,4,Is quoted by
15-A-10,21-A-17,1,Is quoted by
15-A-09,09-A-49,2,Quotes
15-A-08,10-A-01,2,Quotes
15-A-08,15-A-03,9,Quotes
15-A-07,09-A-51,8,Quotes
15-A-07,05-A-02,2,Quotes
15-A-07,13-A-23,5,Quotes
15-A-07,14-A-17,4,Quotes
15-A-07,15-A-20,2,Is quoted by
15-A-07,17-A-04,1,Is quoted by
15-A-07,18-A-10,2,Is quoted by
15-A-06,04-A-18,2,Quotes
15-A-06,07-A-06,1,Quotes
15-A-06,08-A-07,3,Quotes
15-A-06,09-D-01,2,Quotes
15-A-06,95-D-50,1,Quotes
15-A-06,03-D-42,1,Quotes
15-A-06,09-D-08,1,Quotes
15-A-06,04-D-26,1,Quotes
15-A-06,08-D-24,1,Quotes
15-A-06,09-D-21,1,Quotes
15-A-06,04-D-13,1,Quotes
15-A-06,05-D-32,2,Quotes
15-A-06,01-D-49,1,Quotes
15-A-06,02-D-77,1,Quotes
15-A-06,05-D-50,1,Quotes
15-A-06,05-D-44,1,Quotes
15-A-06,10-A-25,4,Quotes
15-A-06,10-A-26,7,Quotes
15-A-06,10-D-08,1,Quotes
15-A-06,06-D-03,1,Quotes
15-A-06,08-D-26,2,Quotes
15-A-06,04-D-40,1,Quotes
15-A-06,12-A-01,1,Quotes
15-A-06,97-A-04,10,Quotes
15-A-06,12-D-07,2,Quotes
15-A-06,03-D-11,11,Quotes
15-A-06,01-D-30,1,Quotes
15-A-06,05-D-22,1,Quotes
15-A-06,13-A-08,1,Quotes
15-A-06,03-D-51,1,Quotes
15-A-06,14-A-03,1,Quotes
15-A-06,14-D-19,3,Quotes
15-A-06,00-A-02,2,Quotes
15-A-06,02-D-24,1,Quotes
15-A-06,02-D-60,1,Quotes
15-A-06,04-D-11,1,Quotes
15-A-06,04-D-36,1,Quotes
15-A-06,05-D-05,1,Quotes
15-A-06,05-D-62,5,Quotes
15-A-06,07-D-18,1,Quotes
15-A-06,93-D-21,7,Quotes
15-A-06,93-D-59,1,Quotes
15-A-06,94-D-60,3,Quotes
15-A-06,96-A-09,1,Quotes
15-A-06,18-A-14,5,Is quoted by
15-A-06,20-A-02,7,Is quoted by
15-A-06,20-D-04,4,Is quoted by
15-A-06,20-D-09,1,Is quoted by
15-A-06,20-D-22,3,Is quoted by
15-A-05,12-A-11,1,Quotes
15-A-05,95-A-10,1,Quotes
15-A-04,09-A-47,4,Quotes
15-A-04,08-A-06,2,Quotes
15-A-04,10-A-18,1,Quotes
15-A-04,17-A-09,1,Is quoted by
15-A-04,20-A-07,2,Is quoted by
15-A-03,15-A-08,9,Is quoted by
15-A-02,09-A-21,1,Quotes
15-A-02,08-A-18,1,Quotes
15-A-02,10-A-14,2,Quotes
15-A-02,13-D-23,3,Quotes
15-A-02,99-A-08,1,Quotes
15-A-02,95-A-02,1,Quotes
15-A-02,16-A-03,18,Is quoted by
15-A-02,16-A-06,7,Is quoted by
15-A-02,16-A-12,10,Is quoted by
15-A-02,16-A-13,11,Is quoted by
15-A-02,16-A-16,2,Is quoted by
15-A-02,16-A-18,4,Is quoted by
15-A-02,16-A-25,11,Is quoted by
15-A-02,16-A-26,9,Is quoted by
15-A-02,17-A-08,1,Is quoted by
15-A-02,17-A-15,2,Is quoted by
15-A-02,18-A-08,1,Is quoted by
15-A-02,19-A-16,1,Is quoted by
15-A-02,19-A-17,1,Is quoted by
15-A-02,20-A-01,2,Is quoted by
15-A-02,20-A-03,2,Is quoted by
15-A-02,20-A-09,1,Is quoted by
15-A-01,09-A-45,1,Quotes
15-A-01,05-D-65,1,Quotes
15-A-01,05-D-64,1,Quotes
15-A-01,11-A-15,1,Quotes
15-A-01,12-A-12,4,Quotes
15-A-01,12-D-25,3,Quotes
15-A-01,13-A-14,17,Quotes
15-A-01,14-A-05,1,Quotes
15-A-01,14-A-13,1,Quotes
15-A-01,15-D-05,1,Is quoted by
15-A-01,19-A-03,1,Is quoted by
15-A-01,21-A-17,1,Is quoted by
14-MC-04,16-MC-01,1,Is quoted by
14-MC-02,07-D-33,2,Quotes
14-MC-02,09-D-24,1,Quotes
14-MC-02,10-A-13,4,Quotes
14-MC-02,02-MC-03,1,Quotes
14-MC-02,09-MC-01,1,Quotes
14-MC-02,12-A-03,1,Quotes
14-MC-02,12-D-24,2,Quotes
14-MC-02,13-A-09,4,Quotes
14-MC-02,13-D-04,1,Quotes
14-MC-02,13-D-20,3,Quotes
14-MC-02,15-A-17,1,Is quoted by
14-MC-02,15-D-11,1,Is quoted by
14-MC-02,16-MC-01,29,Is quoted by
14-MC-02,17-D-06,7,Is quoted by
14-MC-02,17-D-16,1,Is quoted by
14-MC-02,21-D-03,1,Is quoted by
14-MC-01,07-MC-05,2,Quotes
14-MC-01,03-MC-01,5,Quotes
14-MC-01,03-MC-04,1,Quotes
14-MC-01,04-D-51,1,Quotes
14-MC-01,07-MC-01,1,Quotes
14-MC-01,06-MC-02,2,Quotes
14-MC-01,04-MC-02,1,Quotes
14-MC-01,08-MC-01,1,Quotes
14-MC-01,11-D-12,1,Quotes
14-MC-01,13-D-11,1,Quotes
14-MC-01,06-MC-01,3,Quotes
14-MC-01,01-MC-07,1,Quotes
14-MC-01,15-D-11,1,Is quoted by
14-MC-01,15-D-15,1,Is quoted by
14-MC-01,16-D-04,2,Is quoted by
14-MC-01,16-MC-01,1,Is quoted by
14-MC-01,18-D-14,2,Is quoted by
14-MC-01,20-MC-01,1,Is quoted by
14-D-20,09-D-17,1,Quotes
14-D-20,05-D-27,1,Quotes
14-D-20,07-D-48,1,Quotes
14-D-20,01-D-14,1,Quotes
14-D-20,06-D-09,1,Quotes
14-D-20,09-D-36,1,Quotes
14-D-20,88-D-13,1,Quotes
14-D-20,10-D-39,1,Quotes
14-D-20,11-D-02,1,Quotes
14-D-20,08-D-09,1,Quotes
14-D-20,11-D-07,2,Quotes
14-D-20,04-D-42,2,Quotes
14-D-20,11-D-19,1,Quotes
14-D-20,05-D-03,1,Quotes
14-D-20,15-D-19,1,Is quoted by
14-D-20,16-D-09,1,Is quoted by
14-D-20,19-D-25,1,Is quoted by
14-D-20,21-D-21,1,Is quoted by
14-D-19,04-A-18,2,Quotes
14-D-19,07-A-12,1,Quotes
14-D-19,07-D-50,1,Quotes
14-D-19,08-A-07,2,Quotes
14-D-19,07-D-41,1,Quotes
14-D-19,05-D-27,1,Quotes
14-D-19,09-D-05,3,Quotes
14-D-19,06-D-09,1,Quotes
14-D-19,04-D-13,2,Quotes
14-D-19,08-D-25,2,Quotes
14-D-19,05-D-33,1,Quotes
14-D-19,10-D-08,4,Quotes
14-D-19,08-D-13,2,Quotes
14-D-19,10-D-28,1,Quotes
14-D-19,07-D-21,2,Quotes
14-D-19,10-D-39,1,Quotes
14-D-19,11-D-01,2,Quotes
14-D-19,11-D-07,1,Quotes
14-D-19,11-D-17,18,Quotes
14-D-19,04-D-42,1,Quotes
14-D-19,12-D-08,1,Quotes
14-D-19,12-D-09,1,Quotes
14-D-19,11-D-19,1,Quotes
14-D-19,12-D-27,1,Quotes
14-D-19,13-D-03,1,Quotes
14-D-19,13-D-12,3,Quotes
14-D-19,01-D-24,1,Quotes
14-D-19,15-A-06,3,Is quoted by
14-D-19,15-D-19,5,Is quoted by
14-D-19,16-D-09,2,Is quoted by
14-D-19,16-D-14,2,Is quoted by
14-D-19,18-A-14,1,Is quoted by
14-D-19,18-D-26,1,Is quoted by
14-D-19,19-D-09,1,Is quoted by
14-D-19,19-D-17,1,Is quoted by
14-D-19,19-D-20,1,Is quoted by
14-D-19,20-A-11,1,Is quoted by
14-D-19,20-D-09,3,Is quoted by
14-D-19,20-D-17,1,Is quoted by
14-D-19,21-D-01,1,Is quoted by
14-D-19,21-D-21,2,Is quoted by
14-D-18,06-D-18,1,Quotes
14-D-18,09-D-36,1,Quotes
14-D-18,10-D-07,3,Quotes
14-D-18,21-A-08,1,Is quoted by
14-D-17,09-D-10,1,Quotes
14-D-17,04-MC-02,1,Quotes
14-D-17,09-D-36,2,Quotes
14-D-17,09-MC-02,2,Quotes
14-D-17,07-D-14,2,Quotes
14-D-17,10-D-13,2,Quotes
14-D-17,12-D-28,1,Quotes
14-D-17,21-D-12,2,Is quoted by
14-D-17,21-D-25,1,Is quoted by
14-D-16,09-D-19,2,Quotes
14-D-16,01-D-63,1,Quotes
14-D-16,02-D-62,2,Quotes
14-D-16,07-D-29,1,Quotes
14-D-16,07-D-48,4,Quotes
14-D-16,94-D-19,1,Quotes
14-D-16,99-D-50,2,Quotes
14-D-16,09-D-05,3,Quotes
14-D-16,06-D-09,1,Quotes
14-D-16,09-D-36,1,Quotes
14-D-16,08-D-13,3,Quotes
14-D-16,94-D-51,3,Quotes
14-D-16,07-D-21,3,Quotes
14-D-16,10-D-39,1,Quotes
14-D-16,11-D-02,1,Quotes
14-D-16,11-D-07,2,Quotes
14-D-16,11-D-13,1,Quotes
14-D-16,11-D-17,1,Quotes
14-D-16,04-D-42,2,Quotes
14-D-16,12-D-10,1,Quotes
14-D-16,13-D-12,3,Quotes
14-D-16,92-D-36,2,Quotes
14-D-16,92-D-37,1,Quotes
14-D-16,97-D-61,1,Quotes
14-D-16,16-D-14,1,Is quoted by
14-D-16,18-D-05,5,Is quoted by
14-D-16,18-D-19,4,Is quoted by
14-D-16,19-A-12,1,Is quoted by
14-D-16,20-D-05,3,Is quoted by
14-D-16,21-D-06,6,Is quoted by
14-D-13,19-A-12,1,Is quoted by
14-D-11,96-A-12,1,Quotes
14-D-11,02-A-08,1,Quotes
14-D-11,09-D-06,6,Quotes
14-D-11,96-A-10,1,Quotes
14-D-11,05-D-72,2,Quotes
14-D-11,09-MC-01,1,Quotes
14-D-11,00-MC-01,1,Quotes
14-D-11,10-D-14,2,Quotes
14-D-11,02-D-63,1,Quotes
14-D-11,10-D-32,2,Quotes
14-D-11,11-A-10,2,Quotes
14-D-11,13-D-20,1,Quotes
14-D-11,01-D-58,1,Quotes
14-D-11,04-D-18,2,Quotes
14-D-11,21-D-29,15,Is quoted by
14-D-10,13-A-08,3,Quotes
14-D-09,12-A-21,1,Quotes
14-D-08,09-A-45,7,Quotes
14-D-08,07-D-33,3,Quotes
14-D-08,09-D-14,1,Quotes
14-D-08,01-D-13,1,Quotes
14-D-08,98-D-41,1,Quotes
14-D-08,09-D-28,1,Quotes
14-D-08,07-MC-06,1,Quotes
14-D-08,04-D-13,1,Quotes
14-D-08,10-D-02,1,Quotes
14-D-08,10-D-28,1,Quotes
14-D-08,10-D-32,3,Quotes
14-D-08,04-D-70,1,Quotes
14-D-08,11-D-13,1,Quotes
14-D-08,04-D-75,1,Quotes
14-D-08,13-D-11,6,Quotes
14-D-08,13-D-21,1,Quotes
14-D-08,91-D-29,1,Quotes
14-D-08,99-D-21,2,Quotes
14-D-08,19-A-12,4,Is quoted by
14-D-07,07-A-06,3,Quotes
14-D-07,09-D-09,1,Quotes
14-D-07,07-D-07,2,Quotes
14-D-07,09-D-12,2,Quotes
14-D-07,09-D-15,2,Quotes
14-D-07,04-D-26,1,Quotes
14-D-07,09-D-26,1,Quotes
14-D-07,09-D-29,2,Quotes
14-D-07,01-D-49,1,Quotes
14-D-07,04-D-10,1,Quotes
14-D-07,10-D-33,1,Quotes
14-D-07,10-D-38,1,Quotes
14-D-07,00-MC-14,1,Quotes
14-D-07,11-D-04,1,Quotes
14-D-07,97-A-04,1,Quotes
14-D-07,12-D-23,1,Quotes
14-D-07,12-D-01,2,Quotes
14-D-07,03-D-06,1,Quotes
14-D-07,12-D-20,1,Quotes
14-D-07,01-D-30,1,Quotes
14-D-07,13-D-16,1,Quotes
14-D-07,13-D-04,1,Quotes
14-D-07,00-MC-17,1,Quotes
14-D-07,04-D-33,1,Quotes
14-D-07,89-MC-01,1,Quotes
14-D-07,15-D-11,8,Is quoted by
14-D-07,18-D-12,1,Is quoted by
14-D-07,21-D-03,1,Is quoted by
14-D-07,21-D-30,27,Is quoted by
14-D-06,08-D-10,1,Quotes
14-D-06,02-A-08,1,Quotes
14-D-06,06-D-18,2,Quotes
14-D-06,09-D-04,1,Quotes
14-D-06,04-D-32,1,Quotes
14-D-06,09-D-14,1,Quotes
14-D-06,05-D-58,1,Quotes
14-D-06,01-D-13,1,Quotes
14-D-06,07-D-28,1,Quotes
14-D-06,09-D-29,7,Quotes
14-D-06,04-D-60,1,Quotes
14-D-06,10-A-13,1,Quotes
14-D-06,05-D-44,1,Quotes
14-D-06,10-D-16,1,Quotes
14-D-06,10-MC-01,1,Quotes
14-D-06,10-D-09,1,Quotes
14-D-06,10-D-11,1,Quotes
14-D-06,10-D-14,1,Quotes
14-D-06,06-D-36,1,Quotes
14-D-06,12-D-23,1,Quotes
14-D-06,05-D-11,1,Quotes
14-D-06,13-D-16,1,Quotes
14-D-06,13-D-21,1,Quotes
14-D-06,03-D-28,2,Quotes
14-D-06,04-D-23,1,Quotes
14-D-06,96-D-51,1,Quotes
14-D-06,15-D-19,1,Is quoted by
14-D-06,18-A-03,1,Is quoted by
14-D-06,19-D-04,1,Is quoted by
14-D-06,19-D-16,1,Is quoted by
14-D-06,20-D-02,1,Is quoted by
14-D-06,20-D-15,1,Is quoted by
14-D-06,21-A-05,1,Is quoted by
14-D-06,21-D-25,4,Is quoted by
14-D-05,04-A-17,2,Quotes
14-D-05,05-D-65,1,Quotes
14-D-05,09-D-15,5,Quotes
14-D-05,02-D-69,5,Quotes
14-D-05,04-D-48,3,Quotes
14-D-05,07-A-05,3,Quotes
14-D-05,04-MC-02,3,Quotes
14-D-05,09-D-05,2,Quotes
14-D-05,06-D-09,1,Quotes
14-D-05,09-D-36,21,Quotes
14-D-05,04-D-13,1,Quotes
14-D-05,05-D-32,1,Quotes
14-D-05,09-MC-02,12,Quotes
14-D-05,06-A-05,3,Quotes
14-D-05,10-A-12,2,Quotes
14-D-05,08-D-13,2,Quotes
14-D-05,07-D-21,2,Quotes
14-D-05,10-D-39,1,Quotes
14-D-05,11-A-19,2,Quotes
14-D-05,11-D-07,2,Quotes
14-D-05,12-D-05,6,Quotes
14-D-05,12-D-06,2,Quotes
14-D-05,04-D-42,2,Quotes
14-D-05,12-D-24,18,Quotes
14-D-05,12-D-25,1,Quotes
14-D-05,15-D-17,13,Is quoted by
14-D-05,15-D-20,2,Is quoted by
14-D-05,17-D-06,1,Is quoted by
14-D-05,17-D-08,1,Is quoted by
14-D-05,19-A-12,3,Is quoted by
14-D-04,00-D-50,2,Quotes
14-D-04,09-D-06,1,Quotes
14-D-04,94-A-15,1,Quotes
14-D-04,04-D-54,1,Quotes
14-D-04,07-D-07,1,Quotes
14-D-04,11-A-02,3,Quotes
14-D-04,12-D-04,1,Quotes
14-D-04,13-D-20,2,Quotes
14-D-04,20-D-07,25,Is quoted by
14-D-04,21-D-17,3,Is quoted by
14-D-03,00-D-47,1,Quotes
14-D-03,09-D-31,1,Quotes
14-D-03,97-D-71,1,Quotes
14-D-03,09-D-36,1,Quotes
14-D-03,10-D-07,1,Quotes
14-D-03,10-D-32,1,Quotes
14-D-03,10-D-33,2,Quotes
14-D-03,11-D-08,1,Quotes
14-D-03,12-D-11,3,Quotes
14-D-03,19-D-07,1,Is quoted by
14-D-02,07-A-09,2,Quotes
14-D-02,05-A-18,3,Quotes
14-D-02,05-D-32,1,Quotes
14-D-02,05-D-44,3,Quotes
14-D-02,12-D-11,1,Quotes
14-D-02,12-D-25,1,Quotes
14-D-02,13-D-21,1,Quotes
14-D-02,13-D-07,1,Quotes
14-D-02,15-D-20,1,Is quoted by
14-D-02,16-D-14,2,Is quoted by
14-D-02,17-D-06,1,Is quoted by
14-D-02,18-D-17,1,Is quoted by
14-D-02,21-D-25,1,Is quoted by
14-A-18,17-A-09,1,Is quoted by
14-A-18,20-A-07,1,Is quoted by
14-A-17,09-A-51,2,Quotes
14-A-17,05-A-02,2,Quotes
14-A-17,04-A-04,1,Quotes
14-A-17,13-A-23,2,Quotes
14-A-17,15-A-07,4,Is quoted by
14-A-17,15-A-20,2,Is quoted by
14-A-17,17-A-04,2,Is quoted by
14-A-17,18-A-10,1,Is quoted by
14-A-16,10-A-08,5,Quotes
14-A-16,11-A-06,3,Quotes
14-A-16,14-A-14,1,Quotes
14-A-16,17-A-01,3,Is quoted by
14-A-15,13-A-24,4,Quotes
14-A-15,99-A-05,1,Quotes
14-A-14,09-A-43,3,Quotes
14-A-14,10-A-08,1,Quotes
14-A-14,14-A-16,1,Is quoted by
14-A-14,15-A-18,2,Is quoted by
14-A-14,16-A-15,3,Is quoted by
14-A-14,19-A-01,4,Is quoted by
14-A-14,19-A-07,4,Is quoted by
14-A-13,05-A-22,7,Quotes
14-A-13,03-D-19,1,Quotes
14-A-13,04-D-57,1,Quotes
14-A-13,10-D-39,1,Quotes
14-A-13,12-D-25,1,Quotes
14-A-13,13-A-14,1,Quotes
14-A-13,14-A-05,2,Quotes
14-A-13,07-D-13,1,Quotes
14-A-13,15-A-01,1,Is quoted by
14-A-13,20-A-01,1,Is quoted by
14-A-13,20-A-09,1,Is quoted by
14-A-12,09-A-33,2,Quotes
14-A-12,05-A-06,3,Quotes
14-A-12,04-D-79,1,Quotes
14-A-12,08-A-13,1,Quotes
14-A-12,96-A-12,2,Quotes
14-A-12,94-A-15,2,Quotes
14-A-12,96-A-10,2,Quotes
14-A-12,08-A-10,1,Quotes
14-A-12,97-A-10,1,Quotes
14-A-12,05-D-29,1,Quotes
14-A-12,12-D-25,1,Quotes
14-A-12,13-A-14,2,Quotes
14-A-12,13-A-25,1,Quotes
14-A-12,13-D-20,1,Quotes
14-A-12,04-A-13,2,Quotes
14-A-12,04-D-02,2,Quotes
14-A-12,04-D-52,1,Quotes
14-A-12,05-D-75,1,Quotes
14-A-12,94-D-40,1,Quotes
14-A-12,97-D-92,1,Quotes
14-A-12,99-A-11,1,Quotes
14-A-12,21-D-13,2,Is quoted by
14-A-11,09-A-33,2,Quotes
14-A-11,05-A-06,3,Quotes
14-A-11,04-D-79,1,Quotes
14-A-11,08-A-13,1,Quotes
14-A-11,96-A-12,2,Quotes
14-A-11,94-A-15,2,Quotes
14-A-11,96-A-10,2,Quotes
14-A-11,08-A-10,1,Quotes
14-A-11,97-A-10,1,Quotes
14-A-11,05-D-29,1,Quotes
14-A-11,12-D-25,1,Quotes
14-A-11,13-A-14,2,Quotes
14-A-11,13-A-25,1,Quotes
14-A-11,13-D-20,1,Quotes
14-A-11,04-A-13,2,Quotes
14-A-11,04-D-02,2,Quotes
14-A-11,04-D-52,1,Quotes
14-A-11,05-D-75,1,Quotes
14-A-11,94-D-40,1,Quotes
14-A-11,97-D-92,1,Quotes
14-A-11,99-A-11,1,Quotes
14-A-10,09-A-33,3,Quotes
14-A-10,05-A-06,3,Quotes
14-A-10,04-D-79,1,Quotes
14-A-10,08-A-13,1,Quotes
14-A-10,96-A-12,2,Quotes
14-A-10,94-A-15,2,Quotes
14-A-10,96-A-10,3,Quotes
14-A-10,08-A-10,1,Quotes
14-A-10,10-A-04,1,Quotes
14-A-10,97-A-10,1,Quotes
14-A-10,05-D-29,1,Quotes
14-A-10,12-D-25,1,Quotes
14-A-10,13-A-14,2,Quotes
14-A-10,13-A-25,1,Quotes
14-A-10,13-D-20,1,Quotes
14-A-10,14-A-05,1,Quotes
14-A-10,04-A-13,2,Quotes
14-A-10,04-D-02,2,Quotes
14-A-10,04-D-52,1,Quotes
14-A-10,05-D-75,1,Quotes
14-A-10,94-D-40,1,Quotes
14-A-10,97-D-92,1,Quotes
14-A-10,99-A-11,1,Quotes
14-A-10,16-A-21,1,Is quoted by
14-A-10,17-D-09,4,Is quoted by
14-A-09,03-A-16,2,Quotes
14-A-09,06-A-12,1,Quotes
14-A-09,00-A-29,1,Quotes
14-A-09,96-A-10,1,Quotes
14-A-09,98-A-05,2,Quotes
14-A-09,11-A-16,1,Quotes
14-A-09,05-A-19,1,Quotes
14-A-09,06-A-15,1,Quotes
14-A-09,06-A-23,1,Quotes
14-A-09,13-A-14,1,Quotes
14-A-09,16-A-23,1,Is quoted by
14-A-09,19-A-02,2,Is quoted by
14-A-09,21-A-07,2,Is quoted by
14-A-08,05-A-10,2,Quotes
14-A-08,05-A-05,2,Quotes
14-A-08,08-A-11,2,Quotes
14-A-08,11-A-07,7,Quotes
14-A-08,13-A-15,2,Quotes
14-A-08,17-A-14,4,Is quoted by
14-A-07,06-A-13,1,Quotes
14-A-07,08-D-10,1,Quotes
14-A-07,10-A-13,1,Quotes
14-A-07,05-D-13,1,Quotes
14-A-07,05-D-44,1,Quotes
14-A-07,15-A-14,12,Is quoted by
14-A-07,21-A-05,2,Is quoted by
14-A-06,09-A-47,1,Quotes
14-A-06,08-A-06,2,Quotes
14-A-06,08-A-09,1,Quotes
14-A-06,09-A-53,2,Quotes
14-A-06,06-A-10,1,Quotes
14-A-06,02-A-08,1,Quotes
14-A-06,09-A-57,1,Quotes
14-A-06,05-A-03,1,Quotes
14-A-06,05-D-59,1,Quotes
14-A-06,10-A-07,3,Quotes
14-A-06,10-A-18,1,Quotes
14-A-06,11-A-05,10,Quotes
14-A-06,06-A-21,1,Quotes
14-A-06,11-A-08,1,Quotes
14-A-06,13-A-10,4,Quotes
14-A-06,15-D-20,1,Is quoted by
14-A-05,05-A-08,1,Quotes
14-A-05,09-A-55,3,Quotes
14-A-05,07-D-39,2,Quotes
14-A-05,10-A-04,1,Quotes
14-A-05,11-A-15,1,Quotes
14-A-05,12-A-05,2,Quotes
14-A-05,12-D-25,1,Quotes
14-A-05,13-A-14,1,Quotes
14-A-05,13-D-16,1,Quotes
14-A-05,04-D-74,1,Quotes
14-A-05,14-A-10,1,Is quoted by
14-A-05,14-A-13,2,Is quoted by
14-A-05,15-A-01,1,Is quoted by
14-A-05,16-A-01,2,Is quoted by
14-A-05,17-D-08,3,Is quoted by
14-A-05,21-A-01,1,Is quoted by
14-A-04,08-D-10,1,Quotes
14-A-04,09-A-48,1,Quotes
14-A-04,09-D-32,1,Quotes
14-A-04,10-A-28,2,Quotes
14-A-04,10-D-17,1,Quotes
14-A-04,11-A-03,3,Quotes
14-A-04,11-A-11,3,Quotes
14-A-04,11-A-12,2,Quotes
14-A-04,11-A-14,3,Quotes
14-A-03,07-A-08,1,Quotes
14-A-03,09-A-48,1,Quotes
14-A-03,08-A-07,6,Quotes
14-A-03,06-D-29,1,Quotes
14-A-03,10-A-28,5,Quotes
14-A-03,10-A-29,2,Quotes
14-A-03,11-A-03,1,Quotes
14-A-03,11-A-11,2,Quotes
14-A-03,11-A-12,1,Quotes
14-A-03,11-A-14,1,Quotes
14-A-03,12-D-08,2,Quotes
14-A-03,15-A-06,1,Is quoted by
14-A-03,18-A-04,6,Is quoted by
14-A-03,19-A-05,2,Is quoted by
14-A-03,19-A-12,4,Is quoted by
14-A-02,11-A-09,2,Quotes
14-A-02,09-A-41,2,Quotes
14-A-02,19-A-11,1,Is quoted by
13-D-23,03-D-03,1,Quotes
13-D-23,04-D-49,1,Quotes
13-D-23,99-A-08,3,Quotes
13-D-23,15-A-02,3,Is quoted by
13-D-23,15-D-13,1,Is quoted by
13-D-21,07-D-33,4,Quotes
13-D-21,09-D-14,1,Quotes
13-D-21,01-D-14,1,Quotes
13-D-21,09-D-05,1,Quotes
13-D-21,09-D-28,1,Quotes
13-D-21,07-MC-06,6,Quotes
13-D-21,06-D-09,1,Quotes
13-D-21,10-D-02,2,Quotes
13-D-21,10-D-12,1,Quotes
13-D-21,08-D-13,1,Quotes
13-D-21,10-D-14,1,Quotes
13-D-21,02-D-42,1,Quotes
13-D-21,10-D-25,2,Quotes
13-D-21,06-D-36,2,Quotes
13-D-21,10-D-32,2,Quotes
13-D-21,07-D-21,1,Quotes
13-D-21,10-D-34,1,Quotes
13-D-21,10-D-39,1,Quotes
13-D-21,08-D-09,1,Quotes
13-D-21,11-D-07,2,Quotes
13-D-21,11-D-17,1,Quotes
13-D-21,12-D-06,2,Quotes
13-D-21,04-D-42,2,Quotes
13-D-21,04-D-75,2,Quotes
13-D-21,13-D-11,18,Quotes
13-D-21,99-A-05,1,Quotes
13-D-21,13-A-24,5,Is quoted by
13-D-21,14-D-02,1,Is quoted by
13-D-21,14-D-06,1,Is quoted by
13-D-21,14-D-08,1,Is quoted by
13-D-21,15-D-20,1,Is quoted by
13-D-21,16-D-17,1,Is quoted by
13-D-21,16-D-23,1,Is quoted by
